question,answer
"If an employee has not availed joining time, as admissible. What will happen to the un-availed portion of joining time?","When the employee joins the new post without availing of full joining time, as admissible, the un-availed portion of joining time shall be credited to his / her earned leave account (non-encash able) subject to the restrictions on accumulation of earned leave."
What is the notice period required for tendering resignation and seeking relieving from employment of DMRC?,The notice period required for tendering resignation and seeking relieving from employment of DMRC is 90 days
What are the working hours of an employee of O&M wing working at Depot / Station / Crew Control / OCC?,"All work centers of O&M Wing like Depots, Stations, Crew Controls, OCC etc. will function on 6 days a week (8 hours a day) and shifts / duty for round the clock functioning."
"After how many years of service in DMRC, an employee becomes eligible for permission to pursue an online generic course?","The online courses, from the approved list, can be undertaken by any regular employee / contract employees who has put in 02 years’ services, irrespective of their being in any job profile. Prior permission would be required to pursue online courses though."
Whether employee can be penalized for non submission of original title deed on time.?,"Yes, if, the employee fail to submit the original documents of property with-in one month of withdrawal of final instalment of HBA or completion certificate, whichever is earlier, a flat 2% interest over and above the normal HBA interest shall be charged on total withdrawn advance amount as a penalty."
"For a deputations, how many applications of outside employment will be forwarded to their parent unit in one calendar year?","In case of deputationists, only one application per calendar year will be forwarded to their parent unit."
How much is the life of the panel?,"The life of the recruitment panel shall be two years from the date of approval by the Competent Authority, which may be extended by one more year with the approval of the Managing Director"
My father has a plot. Can I avail HBA for construction of house on this plot?,"No, title of the land should be in the name of the employee."
How many pay-scales are there for Executive posts?,There are 10 pay-scales for Executive posts.
How many pay-scales are there for non-executive posts?,There are 11 pay-scales for non-executive posts.
What is the penal rent payable upon occupation beyond cancellation of allotment or overstayal beyond admissible quarter retention limit?,"When an employee continues to occupy a staff quarter, whose allotment in his/her favour has been cancelled or is deemed to be cancelled, he/she will be liable to pay per month penal rent equal to one month’s basic pay of the allottee w.e.f. the date of cancellation/overstayal of the allotment."
What types of penalties may be imposed against an allottee is found to be guilty of subletting?,"In case of subletting or sharing of accommodation with unauthorized persons, the HR Department may, after detailed enquiry, cancel the allotment and undertake disciplinary action."
What is the period of engagement and SOP for Post-Retirement Contractual Engagement?,"(i)   Initial engagement: for one year, which may be extended, upto 62 years of age, or, one year from the date of engagement, whichever is later."
What is the periodicity of APAR?,"The periodicity of APAR is - 1st April to 31st March, every year."
Can an employee seek extension for taking possession of quarter after allotment?,"After allotment, extension for taking possession up to 3 months may be given in genuine cases (i.e. problems faced due to ongoing academic session of children, medical condition etc.) with the approval of HoD / HR/O&M department, for staff quarters (Type II, III and IV) at all locations and with the approval of HoD/Admin. for staff quarters (Type V and above) at all locations. Double license fees will be charged for the duration of extended period. (Para 12.3 of the Rules)"
What are the different types of Post Retirement Contractual Engagement?,(i)       Re-employment: against regular post (ii)     Consultant: against regular post and otherwise (iii)    Advisor: against regular post and otherwise (iv)    Retainership: not against a regular post
"Under Review of service, the premature removal of an Executive from service of DMRC requires whose approval?","The premature removal of an Executive from service of DMRC, under this clause, shall require the approval of the Board of Directors."
"If an employee has not taken prior permission for forwarding of application, will he/she get an NOC at the time of interview?","“No Objection Certificate” will not be granted at the time of interview unless application is forwarded officially, through proper channel or permission for applying for outside employment is obtained before applying for the said job. Post facto consideration of such request is not allowed."
How is priority fixed for the various types of accommodation?,"Now, the process of registration for staff quarters has been moved to ESS. The existing priority list  is updated on ESS as per the date/time of registration being captured on ESS. (Para 7 of Rules)"
"If an employee wants to apply for private job in outside organization, will such application be forwarded by DMRC?","No.
Such provision is not applicable on request to apply for Private sector jobs."
"At the end of extended probation period, if the probationer review does not merit ‘Suitable’ assessment. Then what happens?","If at the end of probation period including extended period, the probationer review does not merit ‘Suitable’ assessment, his / her services shall be terminated forthwith, in accordance with the terms of offer of appointment."
"At the end of extended probation period, if the probationer review does not merit ‘Suitable’ assessment. Then what happens?","If at the end of probation period including extended period, the probationer review does not merit ‘Suitable’ assessment, his / her services shall be terminated forthwith, in accordance with the terms of offer of appointment."
Does Probation include period on which employee was on Leave Without Pay,"No, the probation period shall exclude Leave without Pay"
If an employee is inducted on Direct Recruitment basis. What is their probation period?,"(i) Minimum period of 01-year, in case of induction at the level of DGM & above. (ii) Minimum period of 02 years for non-Executive cadre up to the level of Manager."
"If an employee is promoted from Non-Executive to Executive, then what is the probation period?","In such case, the probation period shall be 24 months."
"If the remark (at the end of probation period) on the last assessment of an employee is “Not suitable”, then what will happen?","The probationer may be treated as on further extended probation. A maximum period of one year of extended probation can be allowed at the discretion of Management only, if, it is felt that the probationer can improve and earn suitability during the extended probation period."
"If an employee is promoted from Non-Executive to Executive, then what is the probation period?","In such case, the probation period shall be 24 months."
"If an employee is promoted from Non-Executive to Executive, then what is the probation period?","In such case, the probation period shall be 24 months."
Is the service rendered during contractual tenure considered as residency period for promotion purpose?,"Subsequent upon regularization, the contract service of such employees shall be counted @ maximum up to 70% for further promotion in DMRC. The maximum period of past contract service shall not exceed the quantum of 1.4 years (approx. 70% of 02 years), for promotion purposes and for other purposes including availing of various advances."
What is the definition of Public Servant under DMRC Conduct Discipline and Appeal Rules?,"‘Public Servant’ shall mean and include a person, as mentioned in Section 21 of Indian Penal Code, or, Section 2(28) of Bharatiya Nyaya Sanhita, 2023, as applicable, or, as amended from time to time"
"An employee who joins DMRC on Deputation basis and is absorbed later on, how the information related to his PVR is maintained in DMRC?","The requirement of PVR is relaxed in case of such employees, who join DMRC on Deputation basis / absorbed in DMRC after completion of deputation, as they are joining DMRC after proper relieving from another Govt. organization / entity."
What is the rate of contribution of employees towards SWF Trust,"There are five different rates of contribution, as per the designation of employee:- •   Unskilled, Semi-skilled – Rs.15/- pm •   Below Supervisors – Rs. 20/- pm •   Supervisors – Rs. 35/- pm •   Executives upto AGM – Rs. 60/- pm •   HoDs and above – Rs. 70/- pm"
What is the rate of interest on HBA?,Applicable rates of interest on HBA are as under: Upto 12 lakh  : 5% From 12 lakh to 15 lakh  : 7.5% From 15 lakh to 50 lakh  : 9%
When does the Recruitment Year start / end?,“Recruitment Year” means the year commencing from the 1st of January to the 31st December of the year
What is the maximum limit of fee reimbursement for online courses per block of 3 years?,"Fee reimbursement shall be restricted to Rs. 12,000/- per block of 3 years (from completion of one course)."
Is there any provision of release of funds to celebrate Ambedkar Jayanti from SWF?,"A lumpsum amount of Rs. 50,000/- may be sanctioned each year to an authorized employee nominated by Liaison Officer."
"What is the minimum duration for which the Reporting / Reviewing Authority must have supervised the work of an employee, to be able to be the Reporting / Reviewing Authority in APAR?","APAR to be written by the Reporting Officer immediately superior to the employee concerned and reviewed by the next higher authority. In both cases, they should have supervised the work of employee for not less than three months."
"In case an employee requests for grant of additional joining time (than permissible days), who is the Competent Authority to decide on such request?","MD is the Competent Authority, to consider such requests."
Is there any reservation for reserved categories for allotments?,Yes. 10% of quarters will be reserved for SC and ST candidates in Type-II quarters and 5% will be reserved in Type-III and IV. The ratio of SC and ST employees in the reserved quota will be 2:1. (Para 7.8 of Rules)
Is the service rendered during contractual tenure considered as residency period for promotion purpose?,"Subsequent upon regularization, the contract service of such employees shall be counted @ maximum up to 70% for further promotion in DMRC. The maximum period of past contract service shall not exceed the quantum of 1.4 years (approx. 70% of 02 years), for promotion purposes and for other purposes including availing of various advances."
What are the entitlements for various types of residential accommodation?,"All staff quarters have been categorized into Type II, Type III, Type IV, Type V and Type VI, each of which can be allotted to a registered employee as per his/her eligibility based on payscale. (Para 3 of Rules)."
What is the period of retention permissible after an allottee ceases to be eligible?,"An allotment is cancelled or is deemed to have been cancelled on the expiry of the concessional period of retention permissible under the Rules or he/she vacates the quarter on his own. The retention period admissible, including the concessional period, and the rates of license fee prescribed thereof for different situations are indicated at Para 12.4 of the Rules."
An employee who has been sanctioned HBA for purchase of property wants to change his property after possession. Will he be eligible for continuing HBA on changed property?,"No, after availing HBA, employee cannot change his property."
Can HBA be sanctioned for purchase of a Plot?,"No. For purchase of plot, no HBA will be granted. However if the employee intends to construct a house there on then with this condition upto 40% of the eligible HBA can be sanctioned."
What are the modes of selection on Post Retirement Contractual Engagement?,Against regular posts: - For Internal Candidates (superannuating DMRC officials):
Self-Appraisal in the APAR is required to be filled by employees at which level?,"All employees are required to submit their self-appraisal, to summarize their achievements during the year under review including specialachievements (if any)."
The seniority in the grade for an employee who joined DMRC on contract basis is counted from which date?,Seniority will be will counted after applying 70% post service benefits.
Are there separate Pools/Quotas within the Parent Pool?,"Sub-Pools have been done away with, and each parent department will have one unified priority   list."
How many years of service is required to pursue regular / full time education program?,"For pursuing regular/ full-time education program, the request will be considered along with the request for Study Leave. 
Study leave shall be granted to a regular employee who has satisfactorily completed the period of probation and has rendered not less than five years of regular continuous service, including the period of probation."
"After how many years of service in DMRC, an employee becomes eligible for permission to pursue an online generic course?","The online courses, from the approved list, can be undertaken by any regular employee / contract employees who has put in 02 years’ services, irrespective of their being in any job profile. Prior permission would be required to pursue online courses though."
"In case of making claim for marriage gift or child birth gift, is it necessary that the spouse or child must be added in their service record?","Yes, for all staff welfare related claims through ESS, all members have to first request for addition of family members in records, and then apply for the claims."
Is the service rendered during contractual tenure considered as residency period for promotion purpose?,"Subsequent upon regularization, the contract service of such employees shall be counted @ maximum up to 70% for further promotion in DMRC. The maximum period of past contract service shall not exceed the quantum of 1.4 years (approx. 70% of 02 years), for promotion purposes and for other purposes including availing of various advances."
"How much service a deputationist is required to put-in, to be considered for Absorption?","A deputationist shall be required to put in a minimum of two years’ service in DMRC, for being considered for absorption in DMRC"
How many years of service is required to pursue regular / full time education program?,"For pursuing regular/ full-time education program, the request will be considered along with the request for Study Leave. 
Study leave shall be granted to a regular employee who has satisfactorily completed the period of probation and has rendered not less than five years of regular continuous service, including the period of probation."
What are the various locations of DMRC Staff Quarters?,"The various locations of DMRC staff quarters are as under: Ajronda, Bahadurgarh, Gurgaon, Mukundpur, Mundka, Najafgarh, New Ashok Nagar, Sarita Vihar, Shastri Park, Shastri Park Two, Vinod Nagar, Yamuna Bank, Noida, Metro Enclave (Pushp Vihar) & Civil Lines."
What is Subletting? Is subletting permissible?,"If an allottee shares the accommodation with an ineligible person or he himself does not reside in the premises, but the same is occupied by others (whether eligible for sharing or not), he will be held to have sublet the house. Subletting is not permissible and can attract disciplinary action and/or cancellation of allotment."
"How much is the Subsistence Allowance paid when paid under suspension, initially?",50% of Basic Pay
When is a Subsistence Allowance given?,At the time of Suspension
"At the end of extended probation period, if the probationer review does not merit ‘Suitable’ assessment. Then what happens?","If at the end of probation period including extended period, the probationer review does not merit ‘Suitable’ assessment, his / her services shall be terminated forthwith, in accordance with the terms of offer of appointment."
How to surrender the staff quarter?,"During the period of allotment, the allottee is required to give at least one month notice to the HR/Admin Department before vacating the premises. In case the allottee fails to give notice he/she shall           be responsible for payment of one month license fee. Prior intimation is not mandatory in case of administrative transfer. (Para 8.8. of Rules)."
In what conditions an employee of DMRC can be placed under Suspension?,a.    Where Disciplinary proceedings against him/her is contemplated or is pending or b.   Where a case against him/her in respect of any criminal offence is under investigation or trial.
Is the Tablet PC reimbursement applicable for non-supervisors only?,It is applicable for all non-executive employees.
What is the tenure of regularization of TADK?,The tenure for regularization of TADK is 03 years.
What is the tenure of regularization of TADK?,The tenure for regularization of TADK is 03 years.
The termination process of an employee may be initiated if he / she remains on an unauthorized leave of how many days?,This process may be initiated if an employee remains on unauthorized absence for 60 days or more days
What is the time limit for charged official to submit his/her written statement of defence on charge sheet?,"The charged official may submit his/her written statement of defence within such time period, as may be specified by the Disciplinary Authority, not exceeding 15 days."
"In how much time, the Appeal is to be decided?",The Appellate Authority shall consider whether the findings are justified or whether the penalty is excessive or inadequate and pass appropriate orders within three months of the date of appeal.
Is there any time-limit to file an appeal against the Order of the Disciplinary Authority?,An appeal shall be preferred within one month from the date of communication of the order appealed against. The appeal shall be addressed to the Appellate Authority specified in the schedule and submitted to the authority whose order is appealed against. The Authority whose order is appealed against shall forward the appeal together with its comments and the records of the case to the Appellate Authority within 15 days.
"For transfer of an employee’s posting station within the jurisdiction of AM, who is the Competent Approving authority?",Dy. HoD is the Competent Approving Authority
Under what circumstances Subsistence Allowances is not payable?,"Deemed Suspension, till the time employee is in custody."
On what basis the seniority of employees who are transferred on their promotion is determined?,"The seniority of employees of DMRC promoted to higher posts shall be maintained as per the panel seniority position, irrespective of the date of assumption of charge of the higher post. This shall be subject to the condition that they assume the charge of the higher post within a period of 06 (six) months, from the date of issuance of the promotion order."
"If an employee wants to withdraw his/her request of resignation within notice period, can he/she be allowed to do this?","The employee can decide to withdraw the request of resignation, for genuine reasons during the notice period. DMRC reserves the right to accept the withdrawal or otherwise if Management approval for acceptance of resignation has been communicated to the employee."
What are the working hours of an employee of O&M wing working at Depot / Station / Crew Control / OCC?,"All work centers of O&M Wing like Depots, Stations, Crew Controls, OCC etc. will function on 6 days a week (8 hours a day) and shifts / duty for round the clock functioning."
"If Honorarium is paid for working on weekly rest day to an O&M employee, then will he/she be eligible to get compensatory rest/conveyance charge also?","Where honorarium is paid for working on weekly rest day, like exam duty etc., no Compensatory Rest/ conveyance charges will be admissible for O&M employees."
"How many chances are given to a candidate to clear the Written Test, in case of Compassionate Appointment?","A maximum of three chances shall be given to a candidate, while in case of candidates, who are SC/ST/Widow/Wife, a maximum of four chances, shall be given."
Can an employee pursue more than one educational course at the same time?,No. Employees cannot pursue two courses simultaneously.
Under what conditions will a qualification be included in service records or eligible for incentive?,"Qualifications obtained with prior permission (NOC) and at least 60% marks/equivalent grade are eligible for inclusion in service records, promotions, and incentives."
How many years of service are required to pursue a regular/full-time education program?,Study leave for full-time programs is granted only after probation + 5 years of continuous service.
Can an employee continue an educational course started before joining DMRC?,"Yes, with permission. However, no permission is granted for full-time courses requiring completion in regular mode."
When are contract employees eligible for permission to pursue higher studies?,"After 3 years of service, for part-time/distance/correspondence courses only. They are not eligible for incentives for higher qualifications."
What are the requirements for recognition of courses?,"Courses must be recognized by AICTE/UGC/DEC or relevant Govt. body, with supporting documents submitted."
What is the condition for receiving incentive after higher studies?,Incentive is paid only after submission of an Indemnity Bond (20 Rs Stamp paper) to serve DMRC for at least 2 years post-incentive.
After how many years of service in DMRC can an employee pursue an online generic course?,"Any regular/contract employee with 2 years of service may pursue approved online courses, with prior permission."
What is the maximum fee reimbursement limit for online courses?,"Reimbursement is capped at ₹12,000 per block of 3 years, counted from completion of one course."
Is any incentive given after successful completion of an online course?,"No incentive is admissible. Only course fees, within the prescribed limit, are reimbursed."
What is the incentive amount for acquiring higher qualifications?,"Ph.D. / Post-Graduation – ₹10,000; Graduation – ₹8,000; PG Diploma (2 years) – ₹6,000; Diploma (3 years) – ₹4,000; Diploma (less than 3 years, approved by Govt. body) proportionate of 3 years course (not less than 6 months period) subject to a minimum Rs.1000/-; Higher Secondary – ₹2,500; High School – ₹1,500."
What topics in General courses or Specialized courses are commonly offered through online courses?,"The updated list of Massive Open Online Courses (MOOCs) has been made available on the intranet, dated 26.11.2024."
What is the minimum and maximum duration of MOOCs?,Minimum duration is 3 weeks and maximum duration is 12 weeks.
Who is eligible for Specialized courses?,Employees of the respective discipline only. RS and Electrical employees can pursue courses of both wings.
What's the amount towards festival advance being released?,"The present ceiling of festival advance for all non-executive employees is Rs. 7,500.00."
What's the eligibility criteria grade wise?,"Allowed to staff up to the grade Rs. 40,000.00 -1,25,000.00 only."
Completed years of service required?,Applicant should have put in one year regular service.
What are the repayment terms?,The advance will be recoverable in maximum 10 installments.
What interest rates will be charged?,No interest shall be charged from the employee.
Is the advance released on a calendar year or financial year basis?,It's released on a calendar year basis.
When employee will be eligible to draw this advance again?,"The employee is eligible again after completing the repayment of the previous advance and meeting the required service period, e.g., one year."
What is the criteria for regular DMRC employee to apply for NOC for outside job?,"Yes, provided the employee meets the minimum service requirement (after probation/absorption) and no disqualifying vigilance or D&AR issues. Contractual employees don’t need forwarding, but must intimate DMRC when they apply elsewhere."
How many outside job applications can be forwarded in a year?,"Up to four applications can be forwarded per calendar year for Govt./PSU/other government bodies, of which at most two can be for deputation posts."
When can a new direct recruit start applying outside through DMRC?,Only after you complete your full probation period and then one additional year of regular service.
When can a DMRC employee on getting absorbed after deputation become eligible to apply outside?,The employee can seek forwarding of his applications only after he completes two years of service after absorption in DMRC.
Will the applications for UPSC exams be counted in the four-application limit?,"Applications for Civil Services, Engineering Services, Indian Forest Service, Indian Economic Service and Indian Statistical Service exams do not count towards your annual limit if you send them directly and only intimate DMRC through proper channel. All other UPSC/Commission posts do count within the four-application limit."
Can NOC be applied for a private sector job through DMRC?,No. DMRC does not forward applications to private organizations.
What could stop the application for NOC from being forwarded?,Your application will not be forwarded if you are under suspension; have a charge-sheeted disciplinary/vigilance/CBI case; have been sanctioned for prosecution or have a criminal charge-sheet filed; or are currently undergoing a penalty.
How do outside applications work for the employee on contract?,"While you are contractual, you only need to intimate DMRC when you apply outside; forwarding is not required. After you are regularised, any earlier applications that are still active will start counting within the normal limit and NOC for interviews will depend on your vigilance/D&AR status."
Will the NOC be provided if the employee does not meet eligibility criteria?,"No, the employee shall meet eligibility criteria such as experience, educational qualification etc. for an NOC to be received. All supplementary documents are mandatory."
If the educational qualification is attained after joining DMRC is it necessary to add it in service records for NOC?,"Yes, it is mandatory to get the educational qualification added in service records of DMRC to attain NOC for outside employment."
Can a permanent employee apply for any contractual post in other govt organization?,"Yes, a permanent employee can apply for posts on contractual, direct recruitment, absorption, etc."
Is NOC required for transactions done with close relatives?,Yes.
What comes under movable property?,"Movable property includes jewelry, insurance policies, shares, securities, debentures, motor vehicles, and household appliances like refrigerators, radios, televisions, etc."
What is the limit of transaction to be reported in DMRC?,Every transaction with value greater than or equal to twice of the basic salary.
What if transactions related to movable property are not reported?,"If employee does not report the transaction, the D&AR may be initiated."
If transaction is done by spouse/children does it need reporting?,"No, if the family members have independent source of income."
Do expenses on child education abroad need to be reported?,"Yes, children’s education abroad also needs to be intimated."
Does ceiling limit apply to ex-showroom or on-road price?,Ex-showroom price.
Is Form 34 mandatory?,"Yes, it will be asked by the agent/dealer for hypothecation of vehicle in favor of financer."
Are bond papers required to be signed on every page?,"Yes, every page of the Bond Papers must be signed by the borrower or employee."
What is the limit of vehicle advance?,"It depends on Employee’s Pay Scale: Rs. 2.5 lakh, Rs. 5 lakh, and Rs. 7.5 lakh depending on grade."
Will DMRC give vehicle advance if ex-showroom exceeds limit?,"No, for Vehicle Advance Ex-Showroom should be less than ceiling limit."
How many vehicle advances can an employee avail?,Three Vehicle Advance during the service period.
What is cooling-off period between vehicle advances?,5 years from the date of disbursement of previous advance and after full settlement.
What documents are required after purchasing vehicle?,"Original invoice/cash receipt, insurance copy, registration certificate, and hypothecation proof."
What kind of changes are done in service records?,"Changes include name, spelling, surname, and details of parents/spouse/children including DOB."
Which office order governs service record changes?,Office order No-O&M/HR/242 of 2022 dated 22.07.2022.
Should form be signed by controlling officer?,Yes (Assistant Manager and above).
Documents required for self name change?,"Annexure A, Deed, newspaper publication, Gazette notification, and ID proofs."
Documents required for surname change after marriage?,"Annexure C, marital status proof, Aadhaar, marriage proof, spouse ID."
Documents required for surname deletion after divorce?,"Annexure C, divorce proof, Aadhaar copies."
Documents required for change in DoB/name of family?,"Annexure D, ID proofs, certificates, Gazette & affidavit if required."
Who is approving authority for HoD level employees?,Director (HR).
Who is approving authority upto Dy HoD level?,HoD/HR.
Who is approving authority for family record changes?,Dy. HoD/HR.
Are leave entitlements a right?,No. Leave cannot be claimed as a matter of right.
Who is covered under leave rules?,All employees unless excluded.
How many days of CL are allowed?,8 days (office) / 12 days (field).
Can CL be carried forward?,"No, it lapses."
Can CL be combined with other leave?,Only with Special Casual Leave.
When is Special Casual Leave granted?,"For specific events like sports, elections, etc."
Maximum limit of Special Casual Leave?,Maximum 30 days.
How is Earned Leave credited?,30 days per year (15+15).
Maximum accumulation of EL?,"150 encashable, total cap 300+15."
Maximum EL at one time?,"120 days India, 180 abroad."
How many days of HPL are credited?,20 days per year.
Maximum HPL at one time?,Up to 24 months.
Who can avail Leave Not Due?,Regular employees with 1 year service.
Maximum limit of LND?,360 days total.
What is Commuted Leave?,Half Pay Leave converted to full pay.
How many days for study leave?,Up to 90 days.
When is EOL granted?,In exceptional cases.
Maximum limit of EOL?,2 years max.
Benefits under WRIIL?,Full pay then half pay.
When is Quarantine Leave applicable?,In infectious disease cases.
Maternity leave entitlement?,182 days etc.
How many times CCL can be availed?,3 times per year.
Is maternity leave separate?,"No, separate."
Can maternity leave be combined?,Yes.
Paternity leave entitlement?,15 days.
Can leave be taken for higher studies?,Yes with conditions.
EL encashment at retirement?,Up to 300 days.
Who accepts resignation?,HoD/Director.
Can employee request early relieving?,Yes with approval and payment.
Can resignation be withdrawn?,"Yes, subject to approval."
What leave allowed during notice period?,Only CL/RH.
Can gratuity and leave be transferred?,Yes transferable.
Can employee rejoin DMRC?,"Yes, limited conditions."
What dues to clear before relieving?,Clear all dues.
Can one parent be added as dependent?,"No, both parents together."
Is daughter above 25 eligible?,Yes if dependent.
Can medical be availed if spouse uses LTC?,Yes with NOC.
Is widow mother eligible?,No.
Are Unani prescriptions valid?,No.
Are OPD bills from non-nominated hospitals reimbursable?,Yes.
Are IPD bills reimbursable?,Yes.
Delivery reimbursement limits?,"₹25,000 / ₹50,000."
Pre-post hospitalization reimbursement?,No except delivery.
Are duplicate bills allowed?,No.
Documents for prolonged treatment?,Annexure D.
Pre-post hospitalization for daycare?,No.
Parents reimbursement allowed?,No.
Documents for medical reimbursement?,Annexure M checklist.
Tooth implantation for widow mother?,No.
Are parents eligible for OPD?,No.
Is cashless facility available everywhere?,No.
Maximum cashless limit?,₹2 lakh.
IOL ceiling for cataract?,"₹15,000 or ₹5,800."
Eye testing reimbursable?,Yes.
Infertility treatment covered?,No.
IVF reimbursement allowed?,Yes with approval.
Can deputation NOC be applied currently?,Not currently allowed.
Max deputation NOCs per year?,2 per year.
Deputation duration?,5 to 7 years.
Components under annual contribution?,"PRMB, EDLI, etc."
Who bears joining time pay?,Borrowing organization.
Procedure after deputation NOC?,Submit willingness and approval process.
Documents at relieving from borrowing org?,"LPC, leave, vigilance details."
LTC/Medical/TA during deputation?,Borrowing organization.
What is CTG?,Composite Transfer Grant.
CTG amount for transfer?,80% or reduced rate.
CTG if no residence change?,No.
Documents required for CTG?,Address proof required.
Who is eligible for CTG?,All eligible employees.
When is CTG paid?,After submission.
Is CTG applicable on retirement?,Yes.
Is CTG automatic?,No.
Can CTG be claimed in same city?,Yes with conditions.
Is CTG linked to other benefits?,No.
Process for family inclusion?,Apply via ESS.
Documents for child inclusion?,"Birth certificate, Aadhaar, NOC."
Documents for spouse inclusion?,"Marriage proof, ID, NOC."
Who is eligible for HBA?,Regular confirmed employees.
HBA amount limit?,60 times basic or ₹40 lakh.
Interest rate for HBA?,5%–9%.
Ceiling limit of house?,139 times basic.
Sureties required?,Two sureties.
Can parents be included as dependents?,Yes with dependency criteria.
Documents for parent inclusion?,"Photo, ID, income proof."
How to apply for parent inclusion?,Apply via ESS.
Whom to contact?,HR Department.
Renewal required?,Yes every 3 years.
Dependency criteria for renewal?,Income criteria.
Documents for renewal?,"Annexure H, ITR, ID."
How to submit renewal?,Submit via HR.
What if not renewed?,Benefits stopped.
Can renewal be online?,No offline only.
Whom to contact for renewal?,HR Department.
Who is eligible for SWF?,All permanent employees contributing.
Can contributions be tracked?,Yes via salary.
Spouse in PSU eligibility?,Yes if declared.
Late SWF application?,No after 6 months.
Both spouses eligibility?,Only one spouse.
Third child SWF?,No for third child.
How to apply for SWF?,Apply via ESS.
Benefits under SWF?,Multiple benefits listed.
Priority number?,Refer intranet.
How to apply for staff quarter?,Refer housing rules.
Procedure for booking community hall?,ESS booking.
Procedure for guest house booking?,Civil department handles.
Conditions for mutual transfer of staff quarter?,Refer housing rules.
